,id,class_name,size
0,0,shrubland,250
1,1,build_up,250
2,2,baresoil,250
3,3,natural_grassland,250
4,4,sparse_vegetation,103
5,5,wetland,250
6,6,water,250
7,7,bare_rock,25
8,8,agricultural_grassland,250
9,9,ryegrass,250
10,10,lupin,250
11,11,wheat,250
12,12,oatmeal,250
13,13,sorghum,250
14,14,rice,250
15,15,maize,250
16,16,potato,250
17,17,barley,250
18,18,tomato,250
19,19,orchards,250
20,20,olive_trees,250
21,21,vineyard,250
22,22,sobreiro_corkoak,250
23,23,eucalyptus,250
24,24,other_broadleaf,250
25,25,azinheiro_holmoak,43
26,26,pbravo_maritimepine,250
27,27,pmanso_stonepine,250
28,28,openpbravo_openmaritimepine,250
29,29,other_coniferous,34
