CLASS CODE,Classe COSsim EN,Classe COSsim PT
1,Build up, Tecido edificado
2,Autumn/Winter Crops,Trigo
3,Autumn/Winter Crops,Cevada
4,Autumn/Winter Crops,Aveia
5,Autumn/Winter Crops,Azevem
6,Autumn/Winter Crops, Tremocilha
7,Spring/Summer Crops,Milho
8,Spring/Summer Crops, Sorgo
9,Spring/Summer Crops, Arroz
10,Spring/Summer Crops, Tomate
11,Spring/Summer Crops, Batata
12,Vineyards, Vinhas
13,Orchards, Pomares
14,Olive Trees, Olivais
15,Managed Grasslands , Pastagens melhoradas
16,Natural Grasslands ,Pastagens espontaneas
17,Cork oak , Florestas de sobreiro fechada
18,Holm oak ,Florestas de azinheira
19,Eucalyptus,Florestas de eucalipto
20,Other Broadleaf , Florestas de outras folhosas
21,Maritime pine , Florestas de pinheiro bravo
22,Maritime pine , Florestas de pinheiro bravo
23,Stone pine , Florestas de pinheiro manso
24,Other Coniferous , Florestas de outras resinosas
25,Shrubland , Matos
26,Baresoil, Solo nu
27,Bare Rock , Rocha nua
28,Sparse Vegetation ,Vegetação esparsa
29,Wetlands ,Zonas Húmidas
30,Water,Agua
31,Burned Areas ,Areas ardidas
